Longitude,Latitude,Download,Upload,Time
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,240,15,1.64473E+12
121.47086,-30.78251,13556,175,1.64473E+12
121.47086,-30.78251,24932,306,1.64473E+12
121.47086,-30.78251,34154,413,1.64473E+12
121.47086,-30.78251,25242,286,1.64473E+12
121.47086,-30.78251,22724,299,1.64473E+12
121.47086,-30.78251,20728,249,1.64473E+12
121.47086,-30.78251,14241,221,1.64473E+12
121.47086,-30.78251,5129,99,1.64473E+12
121.47086,-30.78251,8544,128,1.64473E+12
121.47086,-30.78251,10952,174,1.64473E+12
121.47086,-30.78251,10353,302,1.64473E+12
121.47086,-30.78251,60,3420,1.64473E+12
121.47086,-30.78251,182,9918,1.64473E+12
